==================================================
Overall performance on the test set:
precision for education = 12th: 1.0000
recall for education = 12th: 0.5000
fbeta for education = 12th: 0.6667
*****
precision for education = Preschool: 1.0000
recall for education = Preschool: 1.0000
fbeta for education = Preschool: 1.0000
*****
==================================================
Evaluating performance on slices of marital-status...
precision for marital-status = Never-married: 0.8696
recall for marital-status = Never-married: 0.3960
fbeta for marital-status = Never-married: 0.5442
*****
precision for marital-status = Married-civ-spouse: 0.7239
recall for marital-status = Married-civ-spouse: 0.6531
fbeta for marital-status = Married-civ-spouse: 0.6867
*****
precision for marital-status = Divorced: 0.5800
recall for marital-status = Divorced: 0.3333
fbeta for marital-status = Divorced: 0.4234
*****
precision for marital-status = Widowed: 1.0000
recall for marital-status = Widowed: 0.2667
fbeta for marital-status = Widowed: 0.4211
*****
precision for marital-status = Separated: 0.7500
recall for marital-status = Separated: 0.3529
fbeta for marital-status = Separated: 0.4800
*****
precision for marital-status = Married-spouse-absent: 0.5000
recall for marital-status = Married-spouse-absent: 0.1429
fbeta for marital-status = Married-spouse-absent: 0.2222
*****
precision for marital-status = Married-AF-spouse: 1.0000
recall for marital-status = Married-AF-spouse: 1.0000
fbeta for marital-status = Married-AF-spouse: 1.0000
*****
==================================================
Evaluating performance on slices of occupation...
precision for occupation = Other-service: 0.4000
recall for occupation = Other-service: 0.0714
fbeta for occupation = Other-service: 0.1212
*****
precision for occupation = Handlers-cleaners: 0.5000
recall for occupation = Handlers-cleaners: 0.2353
fbeta for occupation = Handlers-cleaners: 0.3200
*****
precision for occupation = Transport-moving: 0.6471
recall for occupation = Transport-moving: 0.3284
fbeta for occupation = Transport-moving: 0.4356
*****
precision for occupation = Exec-managerial: 0.7604
recall for occupation = Exec-managerial: 0.7358
fbeta for occupation = Exec-managerial: 0.7479
*****
precision for occupation = Prof-specialty: 0.7843
recall for occupation = Prof-specialty: 0.7735
fbeta for occupation = Prof-specialty: 0.7789
*****
precision for occupation = Craft-repair: 0.6557
recall for occupation = Craft-repair: 0.4420
fbeta for occupation = Craft-repair: 0.5281
*****
precision for occupation = Sales: 0.7325
recall for occupation = Sales: 0.6534
fbeta for occupation = Sales: 0.6907
*****
precision for occupation = ?: 0.5143
recall for occupation = ?: 0.4286
fbeta for occupation = ?: 0.4675
*****
precision for occupation = Adm-clerical: 0.6277
recall for occupation = Adm-clerical: 0.5268
fbeta for occupation = Adm-clerical: 0.5728
*****
precision for occupation = Farming-fishing: 0.7500
recall for occupation = Farming-fishing: 0.4444
fbeta for occupation = Farming-fishing: 0.5581
*****
precision for occupation = Machine-op-inspct: 0.6000
recall for occupation = Machine-op-inspct: 0.2459
fbeta for occupation = Machine-op-inspct: 0.3488
*****
precision for occupation = Priv-house-serv: 1.0000
recall for occupation = Priv-house-serv: 1.0000
fbeta for occupation = Priv-house-serv: 1.0000
*****
precision for occupation = Protective-serv: 0.6471
recall for occupation = Protective-serv: 0.5000
fbeta for occupation = Protective-serv: 0.5641
*****
precision for occupation = Tech-support: 0.7302
recall for occupation = Tech-support: 0.6765
fbeta for occupation = Tech-support: 0.7023
*****
precision for occupation = Armed-Forces: 1.0000
recall for occupation = Armed-Forces: 1.0000
fbeta for occupation = Armed-Forces: 1.0000
*****
==================================================
Evaluating performance on slices of relationship...
precision for relationship = Not-in-family: 0.7381
recall for relationship = Not-in-family: 0.3804
fbeta for relationship = Not-in-family: 0.5020
*****
precision for relationship = Own-child: 1.0000
recall for relationship = Own-child: 0.3333
fbeta for relationship = Own-child: 0.5000
*****
precision for relationship = Husband: 0.7254
recall for relationship = Husband: 0.6531
fbeta for relationship = Husband: 0.6874
*****
precision for relationship = Wife: 0.7170
recall for relationship = Wife: 0.6706
fbeta for relationship = Wife: 0.6930
*****
precision for relationship = Other-relative: 1.0000
recall for relationship = Other-relative: 0.1667
fbeta for relationship = Other-relative: 0.2857
*****
precision for relationship = Unmarried: 0.5714
recall for relationship = Unmarried: 0.2927
fbeta for relationship = Unmarried: 0.3871
*****
==================================================
Evaluating performance on slices of race...
precision for race = White: 0.7228
recall for race = White: 0.6199
fbeta for race = White: 0.6674
*****
precision for race = Black: 0.7647
recall for race = Black: 0.4127
fbeta for race = Black: 0.5361
*****
precision for race = Asian-Pac-Islander: 0.7381
recall for race = Asian-Pac-Islander: 0.5536
fbeta for race = Asian-Pac-Islander: 0.6327
*****
precision for race = Amer-Indian-Eskimo: 0.6000
recall for race = Amer-Indian-Eskimo: 0.5000
fbeta for race = Amer-Indian-Eskimo: 0.5455
*****
precision for race = Other: 0.8333
recall for race = Other: 0.8333
fbeta for race = Other: 0.8333
*****
==================================================
Evaluating performance on slices of sex...
precision for sex = Male: 0.7256
recall for sex = Male: 0.6194
fbeta for sex = Male: 0.6683
*****
precision for sex = Female: 0.7178
recall for sex = Female: 0.5598
fbeta for sex = Female: 0.6291
*****
==================================================
Evaluating performance on slices of native-country...
precision for native-country = United-States: 0.7197
recall for native-country = United-States: 0.6104
fbeta for native-country = United-States: 0.6605
*****
precision for native-country = Guatemala: 1.0000
recall for native-country = Guatemala: 0.0000
fbeta for native-country = Guatemala: 0.0000
*****
precision for native-country = Jamaica: 1.0000
recall for native-country = Jamaica: 0.2000
fbeta for native-country = Jamaica: 0.3333
*****
precision for native-country = Dominican-Republic: 1.0000
recall for native-country = Dominican-Republic: 0.0000
fbeta for native-country = Dominican-Republic: 0.0000
*****
precision for native-country = England: 0.7500
recall for native-country = England: 0.5000
fbeta for native-country = England: 0.6000
*****
precision for native-country = ?: 0.7500
recall for native-country = ?: 0.7500
fbeta for native-country = ?: 0.7500
*****
precision for native-country = Taiwan: 1.0000
recall for native-country = Taiwan: 0.7500
fbeta for native-country = Taiwan: 0.8571
*****
precision for native-country = Germany: 0.8750
recall for native-country = Germany: 0.7000
fbeta for native-country = Germany: 0.7778
*****
precision for native-country = Portugal: 1.0000
recall for native-country = Portugal: 0.3333
fbeta for native-country = Portugal: 0.5000
*****
precision for native-country = El-Salvador: 1.0000
recall for native-country = El-Salvador: 1.0000
fbeta for native-country = El-Salvador: 1.0000
*****
precision for native-country = Mexico: 0.5000
recall for native-country = Mexico: 0.2500
fbeta for native-country = Mexico: 0.3333
*****
precision for native-country = Poland: 0.5000
recall for native-country = Poland: 0.5000
fbeta for native-country = Poland: 0.5000
*****
precision for native-country = Puerto-Rico: 0.6667
recall for native-country = Puerto-Rico: 0.5000
fbeta for native-country = Puerto-Rico: 0.5714
*****
precision for native-country = Cuba: 1.0000
recall for native-country = Cuba: 0.2000
fbeta for native-country = Cuba: 0.3333
*****
precision for native-country = Ecuador: 1.0000
recall for native-country = Ecuador: 0.0000
fbeta for native-country = Ecuador: 0.0000
*****
precision for native-country = Canada: 0.6667
recall for native-country = Canada: 0.8000
fbeta for native-country = Canada: 0.7273
*****
precision for native-country = Yugoslavia: 1.0000
recall for native-country = Yugoslavia: 1.0000
fbeta for native-country = Yugoslavia: 1.0000
*****
precision for native-country = Vietnam: 1.0000
recall for native-country = Vietnam: 0.5000
fbeta for native-country = Vietnam: 0.6667
*****
precision for native-country = Philippines: 0.9231
recall for native-country = Philippines: 0.6667
fbeta for native-country = Philippines: 0.7742
*****
precision for native-country = South: 1.0000
recall for native-country = South: 0.6000
fbeta for native-country = South: 0.7500
*****
precision for native-country = France: 0.5000
recall for native-country = France: 1.0000
fbeta for native-country = France: 0.6667
*****
precision for native-country = Italy: 0.8571
recall for native-country = Italy: 0.6667
fbeta for native-country = Italy: 0.7500
*****
precision for native-country = India: 0.6667
recall for native-country = India: 0.5455
fbeta for native-country = India: 0.6000
*****
precision for native-country = Nicaragua: 1.0000
recall for native-country = Nicaragua: 1.0000
fbeta for native-country = Nicaragua: 1.0000
*****
precision for native-country = China: 0.3333
recall for native-country = China: 1.0000
fbeta for native-country = China: 0.5000
*****
precision for native-country = Iran: 0.5000
recall for native-country = Iran: 0.5000
fbeta for native-country = Iran: 0.5000
*****
precision for native-country = Honduras: 1.0000
recall for native-country = Honduras: 1.0000
fbeta for native-country = Honduras: 1.0000
*****
precision for native-country = Ireland: 1.0000
recall for native-country = Ireland: 1.0000
fbeta for native-country = Ireland: 1.0000
*****
precision for native-country = Columbia: 1.0000
recall for native-country = Columbia: 1.0000
fbeta for native-country = Columbia: 1.0000
*****
precision for native-country = Japan: 1.0000
recall for native-country = Japan: 0.8571
fbeta for native-country = Japan: 0.9231
*****
precision for native-country = Peru: 1.0000
recall for native-country = Peru: 1.0000
fbeta for native-country = Peru: 1.0000
*****
precision for native-country = Trinadad&Tobago: 1.0000
recall for native-country = Trinadad&Tobago: 1.0000
fbeta for native-country = Trinadad&Tobago: 1.0000
*****
precision for native-country = Outlying-US(Guam-USVI-etc): 1.0000
recall for native-country = Outlying-US(Guam-USVI-etc): 1.0000
fbeta for native-country = Outlying-US(Guam-USVI-etc): 1.0000
*****
precision for native-country = Haiti: 1.0000
recall for native-country = Haiti: 0.5000
fbeta for native-country = Haiti: 0.6667
*****
precision for native-country = Greece: 1.0000
recall for native-country = Greece: 0.7500
fbeta for native-country = Greece: 0.8571
*****
precision for native-country = Thailand: 1.0000
recall for native-country = Thailand: 1.0000
fbeta for native-country = Thailand: 1.0000
*****
precision for native-country = Laos: 1.0000
recall for native-country = Laos: 1.0000
fbeta for native-country = Laos: 1.0000
*****
precision for native-country = Scotland: 1.0000
recall for native-country = Scotland: 1.0000
fbeta for native-country = Scotland: 1.0000
*****
precision for native-country = Cambodia: 0.0000
recall for native-country = Cambodia: 0.0000
fbeta for native-country = Cambodia: 1.0000
*****
precision for native-country = Hong: 1.0000
recall for native-country = Hong: 0.0000
fbeta for native-country = Hong: 0.0000
*****
precision for native-country = Hungary: 1.0000
recall for native-country = Hungary: 0.0000
fbeta for native-country = Hungary: 0.0000
*****
==================================================
